Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2023,Teluk betung utara,Februari,Pencurian motor,tempat parkir,08.00-11.59,1
2023,Teluk betung selatan,Februari,Pencurian motor,pasar,08.00-11.59,1
2023,Sukarame,Februari,Pencurian motor,rumah,15.00-17.59,1
2023,Tanjung karang barat,Februari,Pencurian motor,rumah,15.00-17.59,1
2023,Teluk betung utara,Februari,Pencurian motor,tempat parkir,18.00-21.59,1
2023,Sukarame,Februari,Pencurian motor,rumah,04.00-04-59,2
2023,Sukarame,Februari,Pencurian motor,perkantoran,04.00-04.59,1
2023,Kedaton,Maret,Pencurian motor,rumah,15.00-17.59,2
2023,Sukarame,Maret,Pencurian motor,rumah,15.00-17.59,1
2023,Teluk betung utara,Maret,Pencurian motor,rumah,15.00-17.59,1
2023,Sukarame,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,2
2023,Kedaton,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2023,Kedaton,Maret,Pencurian motor,rumah,12.00-14.59,1
2023,Teluk betung utara,Maret,Pencurian motor,tempat parkir,12.00-14.59,1
2023,Sukarame,Maret,Pencurian motor,rumah,04.00-04.59,1
2023,Kemiling,Maret,Pencurian motor,rumah,04.00-04.59,1
2023,Kedaton,Maret,Pencurian motor,rumah,05.00-07.59,2
2023,Kemiling,Maret,Pencurian motor,rumah,05.00-07.59,1
2023,Tanjung karang timur,Maret,Pencurian motor,rumah,22.00-23.59,1
2023,Sukarame,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,22.00-23.59,1
2023,Teluk betung selatan,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,22.00-23.59,1
2024,Kedaton,Januari,Pencurian motor,tempat parkir,08.00-11.59,3
2024,Sukarame,Januari,Pencurian motor,tempat parkir,08.00-11.59,1
2024,Teluk Betung Utara,Januari,Pencurian motor,rumah,08.00-11.59,1
2024,Sukarame,Januari,Pencurian motor,rumah,18.00-21.59,4
2024,Sukarame,Januari,Pencurian motor,rumah,15.00-17.59,1
2024,Teluk betung timur,Januari,Pencurian motor,perkantoran,15.00-17.59,1
